pokemon_id,slot,ability_id,ability_name
3,1,59,심록
3,2,175,엽록소
4,1,3,두꺼운지방
7,1,168,맹화
7,2,48,선파워
8,1,26,단단한발톱
9,1,122,가뭄
12,1,45,급류
12,2,7,젖은접시
13,1,165,메가런처
19,1,163,벌레의알림
19,2,65,스나이퍼
20,1,88,적응력
23,1,71,날카로운눈
23,2,86,갈지자걸음
23,3,117,부풀린가슴
24,1,110,노가드
32,1,11,위협
32,2,80,탈피
32,3,40,긴장감
33,1,75,정전기
33,2,124,피뢰침
34,1,75,정전기
34,2,124,피뢰침
35,1,202,서핑테일
36,1,187,일렉트릭메이커
37,1,110,노가드
49,1,166,헤롱헤롱바디
49,2,156,매직가드
49,3,96,천진
50,1,157,매직미러
53,1,170,타오르는불꽃
53,2,122,가뭄
54,1,173,눈숨기
54,2,174,눈퍼뜨리기
61,1,175,엽록소
61,2,147,포자
81,1,11,위협
81,2,170,타오르는불꽃
81,3,73,정의의마음
82,1,11,위협
82,2,170,타오르는불꽃
82,3,12,돌머리
88,1,58,싱크로
88,2,74,정신력
88,3,156,매직가드
89,1,102,트레이스
92,1,46,근성
92,2,110,노가드
92,3,131,불굴의마음
95,1,175,엽록소
95,2,41,먹보
96,1,201,내용물분출
111,1,103,둔감
111,2,153,마이페이스
111,3,47,재생력
112,1,49,조가비갑옷
113,1,251,퀵드로
113,2,153,마이페이스
113,3,47,재생력
130,1,113,저주받은바디
131,1,24,그림자밟기
157,1,120,일찍기상
157,2,36,배짱
157,3,74,정신력
158,1,21,부자유친
164,1,116,발광
164,2,51,자연회복
164,3,5,애널라이즈
165,1,84,천하장사
172,1,23,괴력집게
172,2,27,틀깨기
172,3,50,자기과신
173,1,62,스카이스킨
174,1,11,위협
174,2,256,분노의경혈
174,3,83,우격다짐
176,1,11,위협
176,2,50,자기과신
177,1,27,틀깨기
179,1,54,유연
179,2,31,괴짜
181,1,87,저수
181,2,17,촉촉바디
182,1,85,축전
182,2,119,속보
183,1,170,타오르는불꽃
183,2,46,근성
189,1,12,돌머리
189,2,140,프레셔
189,3,40,긴장감
190,1,26,단단한발톱
191,1,167,면역
191,2,3,두꺼운지방
191,3,41,먹보
200,1,74,정신력
200,2,258,멀티스케일
201,1,258,멀티스케일
208,1,59,심록
208,2,181,리프가드
209,1,307,메가솔라
212,1,168,맹화
212,2,170,타오르는불꽃
213,1,168,맹화
213,2,20,통찰
216,1,45,급류
216,2,83,우격다짐
217,1,308,드래곤스킨
225,1,163,벌레의알림
225,2,134,불면
225,3,65,스나이퍼
238,1,75,정전기
238,2,136,플러스
239,1,27,틀깨기
242,1,3,두꺼운지방
242,2,84,천하장사
242,3,76,초식
244,1,87,저수
244,2,52,습기
244,3,8,잔비
254,1,58,싱크로
254,2,157,매직미러
255,1,58,싱크로
